Frame,Ball,x,y
0,0,-1.000,-1.000
1,0,-1.000,-1.000
2,0,-1.000,-1.000
3,0,-1.000,-1.000
4,0,-1.000,-1.000
5,0,-1.000,-1.000
6,0,-1.000,-1.000
7,0,-1.000,-1.000
8,0,-1.000,-1.000
9,0,-1.000,-1.000
10,0,-1.000,-1.000
11,1,0.488,0.474
12,1,0.491,0.458
13,1,0.496,0.443
14,1,0.500,0.426
15,1,0.499,0.429
16,1,0.504,0.419
17,1,0.508,0.408
18,1,0.509,0.403
19,1,0.512,0.397
20,1,0.515,0.396
21,1,0.514,0.397
22,1,0.516,0.394
23,1,0.520,0.394
24,1,0.521,0.394
25,1,0.523,0.396
26,1,0.527,0.404
27,1,0.527,0.404
28,1,0.528,0.408
29,1,0.530,0.415
30,1,0.533,0.411
31,1,0.530,0.404
32,1,0.530,0.397
33,1,0.529,0.397
34,1,0.529,0.393
35,1,0.527,0.389
36,1,0.523,0.388
37,1,0.527,0.385
38,1,0.529,0.386
39,1,0.530,0.386
40,1,0.530,0.389
41,1,0.529,0.393
42,1,0.528,0.396
43,1,0.529,0.404
44,1,0.528,0.410
45,1,0.528,0.408
46,1,0.528,0.419
47,1,0.528,0.431
48,1,0.529,0.443
49,1,0.530,0.457
50,1,0.529,0.472
51,1,0.529,0.474
52,1,0.529,0.490
53,1,0.530,0.507
54,1,0.530,0.521
55,1,0.530,0.535
56,0,-1.000,-1.000
57,0,-1.000,-1.000
58,1,0.498,0.371
59,1,0.487,0.317
60,1,0.478,0.274
61,1,0.469,0.233
62,1,0.463,0.200
63,1,0.463,0.200
64,1,0.457,0.175
65,1,0.450,0.151
66,1,0.446,0.132
67,1,0.441,0.114
68,1,0.438,0.100
69,1,0.438,0.100
70,1,0.434,0.089
71,1,0.430,0.079
72,1,0.427,0.072
73,1,0.425,0.067
74,1,0.423,0.061
75,1,0.423,0.064
76,1,0.420,0.060
77,1,0.419,0.060
78,1,0.417,0.060
79,1,0.415,0.062
80,1,0.412,0.065
81,1,0.414,0.067
82,1,0.413,0.071
83,1,0.412,0.078
84,1,0.410,0.085
85,1,0.409,0.093
86,1,0.409,0.103
87,1,0.409,0.103
88,1,0.408,0.114
89,1,0.408,0.125
90,1,0.407,0.138
91,1,0.407,0.153
92,1,0.407,0.165
93,1,0.408,0.165
94,1,0.405,0.199
95,1,0.403,0.246
96,1,0.403,0.283
97,1,0.402,0.319
98,1,0.401,0.350
99,1,0.402,0.351
100,1,0.400,0.376
101,1,0.400,0.406
102,1,0.400,0.435
103,1,0.399,0.458
104,1,0.400,0.485
105,1,0.400,0.483
106,1,0.401,0.507
107,1,0.401,0.536
108,1,0.400,0.561
109,1,0.411,0.557
110,1,0.434,0.510
111,1,0.434,0.510
112,1,0.448,0.472
113,1,0.466,0.442
114,1,0.477,0.418
115,1,0.492,0.397
116,0,-1.000,-1.000
117,1,0.502,0.382
118,1,0.514,0.365
119,1,0.523,0.356
120,1,0.530,0.350
121,1,0.539,0.343
122,1,0.547,0.339
123,1,0.548,0.339
124,1,0.554,0.336
125,1,0.560,0.335
126,1,0.567,0.338
127,1,0.573,0.339
128,1,0.579,0.343
129,1,0.579,0.342
130,1,0.584,0.347
131,1,0.588,0.354
132,1,0.594,0.361
133,1,0.598,0.368
134,1,0.603,0.378
135,1,0.602,0.376
136,1,0.607,0.386
137,1,0.610,0.397
138,1,0.614,0.397
139,1,0.613,0.396
140,1,0.617,0.394
141,1,0.616,0.394
142,1,0.618,0.394
143,1,0.619,0.394
144,1,0.620,0.397
145,1,0.620,0.401
146,1,0.621,0.407
147,1,0.622,0.406
148,1,0.623,0.412
149,1,0.623,0.422
150,1,0.624,0.431
151,1,0.625,0.442
152,1,0.626,0.456
153,1,0.626,0.456
154,1,0.627,0.464
155,1,0.559,0.432
156,1,0.531,0.417
157,1,0.512,0.407
158,1,0.501,0.404
159,1,0.499,0.401
160,1,0.487,0.401
161,1,0.479,0.400
162,1,0.472,0.401
163,1,0.465,0.403
164,1,0.460,0.406
165,1,0.460,0.406
166,1,0.452,0.393
167,1,0.450,0.383
168,1,0.446,0.372
169,1,0.442,0.368
170,1,0.438,0.367
171,1,0.438,0.367
172,1,0.435,0.365
173,1,0.432,0.362
174,1,0.429,0.364
175,1,0.427,0.367
176,1,0.423,0.371
177,1,0.423,0.369
178,1,0.420,0.376
179,1,0.419,0.381
180,1,0.418,0.388
181,1,0.414,0.400
182,1,0.412,0.412
183,1,0.413,0.410
184,1,0.410,0.422
185,1,0.409,0.439
186,1,0.407,0.451
187,1,0.407,0.468
188,1,0.405,0.485
189,1,0.404,0.485
190,1,0.403,0.503
191,1,0.403,0.521
192,1,0.401,0.542
193,1,0.399,0.558
194,1,0.399,0.583
195,1,0.399,0.585
196,1,0.399,0.603
197,0,-1.000,-1.000
198,1,0.434,0.418
199,1,0.448,0.336
200,1,0.460,0.281
201,1,0.459,0.278
202,1,0.470,0.228
203,1,0.480,0.189
204,1,0.487,0.157
205,1,0.494,0.128
206,1,0.501,0.103
207,1,0.501,0.103
208,1,0.507,0.082
209,1,0.513,0.062
210,1,0.518,0.050
211,1,0.524,0.035
212,1,0.527,0.025
213,1,0.528,0.028
214,1,0.533,0.017
215,1,0.537,0.013
216,1,0.541,0.006
217,1,0.545,0.004
218,1,0.551,0.003
219,1,0.551,0.003
220,1,0.553,0.001
221,1,0.558,0.006
222,1,0.562,0.008
223,1,0.566,0.014
224,1,0.569,0.015
225,1,0.569,0.017
226,1,0.573,0.025
227,1,0.577,0.036
228,1,0.580,0.044
229,1,0.584,0.056
230,1,0.586,0.069
231,1,0.586,0.068
232,1,0.589,0.082
233,1,0.592,0.096
234,1,0.594,0.110
235,1,0.597,0.122
236,1,0.599,0.138
237,1,0.600,0.138
238,1,0.602,0.154
239,1,0.604,0.169
240,1,0.577,0.204
241,1,0.547,0.239
242,1,0.528,0.267
243,1,0.527,0.268
244,1,0.510,0.290
245,1,0.495,0.315
246,1,0.480,0.336
247,1,0.468,0.357
248,1,0.456,0.379
249,1,0.455,0.379
250,1,0.447,0.399
251,1,0.434,0.422
252,1,0.426,0.443
253,1,0.417,0.463
254,1,0.409,0.485
255,1,0.409,0.487
256,1,0.401,0.512
257,1,0.395,0.533
258,1,0.388,0.557
259,1,0.382,0.582
260,1,0.377,0.606
261,1,0.377,0.606
262,1,0.370,0.631
263,1,0.365,0.657
264,1,0.364,0.656
265,1,0.364,0.646
266,1,0.364,0.644
267,1,0.364,0.642
268,1,0.364,0.642
269,1,0.363,0.642
270,1,0.363,0.642
271,1,0.363,0.642
272,1,0.364,0.649
273,1,0.363,0.647
274,1,0.380,0.631
275,1,0.391,0.619
276,0,-1.000,-1.000
277,0,-1.000,-1.000
278,1,0.423,0.583
279,1,0.423,0.583
280,1,0.430,0.575
281,1,0.440,0.574
282,1,0.448,0.565
283,1,0.454,0.558
284,1,0.459,0.551
285,1,0.459,0.554
286,1,0.463,0.547
287,1,0.469,0.540
288,1,0.472,0.537
289,1,0.475,0.533
290,1,0.478,0.528
291,1,0.479,0.528
292,1,0.482,0.525
293,1,0.485,0.522
294,1,0.486,0.515
295,1,0.490,0.512
296,1,0.491,0.511
