Frame,Ball,x,y
0,0,-1.000,-1.000
1,0,-1.000,-1.000
2,0,-1.000,-1.000
3,0,-1.000,-1.000
4,0,-1.000,-1.000
5,0,-1.000,-1.000
6,0,-1.000,-1.000
7,0,-1.000,-1.000
8,0,-1.000,-1.000
9,0,-1.000,-1.000
10,0,-1.000,-1.000
11,0,-1.000,-1.000
12,0,-1.000,-1.000
13,0,-1.000,-1.000
14,0,-1.000,-1.000
15,1,0.525,0.369
16,1,0.530,0.360
17,1,0.540,0.347
18,1,0.545,0.347
19,1,0.548,0.349
20,1,0.549,0.347
21,1,0.552,0.347
22,1,0.556,0.347
23,1,0.562,0.353
24,1,0.564,0.354
25,1,0.569,0.362
26,1,0.570,0.361
27,1,0.573,0.371
28,1,0.577,0.376
29,1,0.579,0.389
30,1,0.584,0.403
31,1,0.585,0.415
32,1,0.586,0.415
33,1,0.588,0.429
34,1,0.592,0.444
35,1,0.594,0.464
36,1,0.595,0.483
37,1,0.599,0.500
38,1,0.598,0.503
39,1,0.602,0.522
40,1,0.602,0.539
41,0,-1.000,-1.000
42,1,0.599,0.428
43,1,0.595,0.372
44,0,-1.000,-1.000
45,1,0.592,0.329
46,1,0.590,0.297
47,1,0.589,0.265
48,1,0.588,0.239
49,1,0.587,0.219
50,1,0.586,0.221
51,1,0.586,0.201
52,0,-1.000,-1.000
53,1,0.584,0.176
54,1,0.582,0.171
55,1,0.581,0.164
56,1,0.582,0.163
57,1,0.580,0.157
58,1,0.580,0.153
59,1,0.580,0.151
60,1,0.578,0.147
61,1,0.577,0.151
62,1,0.578,0.150
63,1,0.577,0.151
64,1,0.576,0.153
65,1,0.577,0.156
66,1,0.575,0.167
67,1,0.575,0.172
68,1,0.576,0.172
69,1,0.580,0.228
70,1,0.586,0.275
71,1,0.590,0.315
72,1,0.592,0.353
73,1,0.596,0.386
74,1,0.595,0.386
75,1,0.598,0.415
76,1,0.600,0.450
77,1,0.602,0.478
78,1,0.604,0.511
79,1,0.604,0.540
80,1,0.603,0.540
81,1,0.605,0.560
82,0,-1.000,-1.000
83,1,0.545,0.506
84,1,0.516,0.479
85,1,0.490,0.464
86,1,0.490,0.464
87,1,0.468,0.454
88,1,0.448,0.444
89,1,0.431,0.439
90,1,0.414,0.435
91,1,0.398,0.431
92,1,0.398,0.431
93,1,0.384,0.431
94,1,0.372,0.431
95,1,0.360,0.435
96,1,0.348,0.435
97,1,0.339,0.444
98,1,0.338,0.442
99,1,0.327,0.450
100,1,0.318,0.457
101,1,0.309,0.467
102,1,0.300,0.475
103,1,0.292,0.487
104,1,0.292,0.487
105,1,0.284,0.499
106,1,0.278,0.512
107,1,0.270,0.526
108,1,0.263,0.543
109,1,0.257,0.561
110,1,0.258,0.561
111,1,0.253,0.571
112,1,0.251,0.565
113,1,0.249,0.561
114,1,0.247,0.553
115,1,0.248,0.553
116,1,0.248,0.551
117,1,0.248,0.551
118,1,0.248,0.551
119,1,0.249,0.551
120,1,0.251,0.553
121,1,0.251,0.554
122,1,0.250,0.557
123,1,0.252,0.558
124,1,0.248,0.565
125,0,-1.000,-1.000
126,0,-1.000,-1.000
127,1,0.245,0.574
128,1,0.244,0.575
129,1,0.243,0.574
130,1,0.245,0.575
131,1,0.243,0.575
132,1,0.245,0.576
133,1,0.244,0.578
134,1,0.244,0.578
135,1,0.241,0.578
136,1,0.240,0.578
137,1,0.241,0.578
